,0,Accident_ID
0,Highly_Fatal_And_Damaging,1
1,Significant_Damage_And_Fatalities,10
2,Significant_Damage_And_Serious_Injuries,14
3,Minor_Damage_And_Injuries,17
4,Significant_Damage_And_Fatalities,21
5,Significant_Damage_And_Fatalities,40
6,Significant_Damage_And_Fatalities,45
7,Highly_Fatal_And_Damaging,50
8,Highly_Fatal_And_Damaging,52
9,Significant_Damage_And_Serious_Injuries,85
10,Significant_Damage_And_Serious_Injuries,95
11,Significant_Damage_And_Serious_Injuries,106
12,Highly_Fatal_And_Damaging,111
13,Significant_Damage_And_Serious_Injuries,123
14,Significant_Damage_And_Fatalities,129
15,Significant_Damage_And_Serious_Injuries,130
16,Highly_Fatal_And_Damaging,132
17,Significant_Damage_And_Serious_Injuries,137
18,Minor_Damage_And_Injuries,159
19,Significant_Damage_And_Fatalities,161
20,Highly_Fatal_And_Damaging,162
21,Significant_Damage_And_Serious_Injuries,166
22,Significant_Damage_And_Fatalities,170
23,Highly_Fatal_And_Damaging,173
24,Highly_Fatal_And_Damaging,177
25,Significant_Damage_And_Fatalities,180
26,Highly_Fatal_And_Damaging,182
27,Highly_Fatal_And_Damaging,183
28,Significant_Damage_And_Fatalities,184
29,Significant_Damage_And_Serious_Injuries,188
30,Minor_Damage_And_Injuries,190
31,Highly_Fatal_And_Damaging,191
32,Minor_Damage_And_Injuries,201
33,Highly_Fatal_And_Damaging,203
34,Highly_Fatal_And_Damaging,206
35,Minor_Damage_And_Injuries,217
36,Highly_Fatal_And_Damaging,220
37,Minor_Damage_And_Injuries,221
38,Highly_Fatal_And_Damaging,225
39,Significant_Damage_And_Serious_Injuries,229
40,Minor_Damage_And_Injuries,231
41,Significant_Damage_And_Serious_Injuries,232
42,Significant_Damage_And_Fatalities,234
43,Significant_Damage_And_Fatalities,236
44,Significant_Damage_And_Fatalities,237
45,Highly_Fatal_And_Damaging,240
46,Minor_Damage_And_Injuries,245
47,Minor_Damage_And_Injuries,250
48,Highly_Fatal_And_Damaging,252
49,Significant_Damage_And_Serious_Injuries,254
50,Minor_Damage_And_Injuries,261
51,Significant_Damage_And_Fatalities,265
52,Significant_Damage_And_Fatalities,266
53,Highly_Fatal_And_Damaging,271
54,Highly_Fatal_And_Damaging,273
55,Minor_Damage_And_Injuries,274
56,Highly_Fatal_And_Damaging,275
57,Minor_Damage_And_Injuries,280
58,Highly_Fatal_And_Damaging,285
59,Highly_Fatal_And_Damaging,292
60,Minor_Damage_And_Injuries,304
61,Minor_Damage_And_Injuries,311
62,Significant_Damage_And_Fatalities,316
63,Highly_Fatal_And_Damaging,317
64,Significant_Damage_And_Serious_Injuries,318
65,Significant_Damage_And_Serious_Injuries,321
66,Highly_Fatal_And_Damaging,322
67,Significant_Damage_And_Fatalities,327
68,Significant_Damage_And_Serious_Injuries,332
69,Minor_Damage_And_Injuries,338
70,Highly_Fatal_And_Damaging,356
71,Highly_Fatal_And_Damaging,364
72,Highly_Fatal_And_Damaging,372
73,Significant_Damage_And_Fatalities,379
74,Highly_Fatal_And_Damaging,380
75,Highly_Fatal_And_Damaging,384
76,Minor_Damage_And_Injuries,388
77,Significant_Damage_And_Fatalities,390
78,Minor_Damage_And_Injuries,401
79,Highly_Fatal_And_Damaging,408
80,Highly_Fatal_And_Damaging,413
81,Significant_Damage_And_Serious_Injuries,416
82,Highly_Fatal_And_Damaging,426
83,Minor_Damage_And_Injuries,428
84,Minor_Damage_And_Injuries,432
85,Highly_Fatal_And_Damaging,433
86,Significant_Damage_And_Fatalities,437
87,Significant_Damage_And_Fatalities,440
88,Highly_Fatal_And_Damaging,444
89,Significant_Damage_And_Serious_Injuries,447
90,Minor_Damage_And_Injuries,451
